Rainfall - (MM), Year,Month, Country, ISO3
41.7875,1916,11, India, IND
2.73002,1916,12, India, IND
4.44677,1917,1, India, IND
28.7557,1917,2, India, IND
15.099,1917,3, India, IND
32.8759,1917,4, India, IND
73.8263,1917,5, India, IND
200.727,1917,6, India, IND
251.429,1917,7, India, IND
272.251,1917,8, India, IND
263.549,1917,9, India, IND
118.914,1917,10, India, IND
28.9785,1917,11, India, IND
5.95347,1917,12, India, IND
7.68527,1918,1, India, IND
3.18488,1918,2, India, IND
15.8502,1918,3, India, IND
27.5171,1918,4, India, IND
60.6197,1918,5, India, IND
170.443,1918,6, India, IND
139.136,1918,7, India, IND
226.507,1918,8, India, IND
101.972,1918,9, India, IND
16.7396,1918,10, India, IND
38.656,1918,11, India, IND
11.2912,1918,12, India, IND
35.6947,1919,1, India, IND
12.3311,1919,2, India, IND
10.1673,1919,3, India, IND
26.464,1919,4, India, IND
54.6472,1919,5, India, IND
160.768,1919,6, India, IND
254.883,1919,7, India, IND
290.903,1919,8, India, IND
166.502,1919,9, India, IND
63.8618,1919,10, India, IND
48.6992,1919,11, India, IND
13.2226,1919,12, India, IND
14.0754,1920,1, India, IND
12.3467,1920,2, India, IND
24.0371,1920,3, India, IND
23.7759,1920,4, India, IND
48.6719,1920,5, India, IND
144.028,1920,6, India, IND
257.418,1920,7, India, IND
156.272,1920,8, India, IND
115.209,1920,9, India, IND
38.779,1920,10, India, IND
21.9262,1920,11, India, IND
0.99651,1920,12, India, IND
25.2806,1921,1, India, IND
3.54644,1921,2, India, IND
8.06222,1921,3, India, IND
42.4754,1921,4, India, IND
24.6916,1921,5, India, IND
160.6,1921,6, India, IND
271.767,1921,7, India, IND
245.076,1921,8, India, IND
179.149,1921,9, India, IND
58.0476,1921,10, India, IND
17.5941,1921,11, India, IND
6.41269,1921,12, India, IND
18.9737,1922,1, India, IND
6.53923,1922,2, India, IND
6.738,1922,3, India, IND
16.1743,1922,4, India, IND
39.7488,1922,5, India, IND
185.568,1922,6, India, IND
277.591,1922,7, India, IND
200.285,1922,8, India, IND
223.637,1922,9, India, IND
47.4488,1922,10, India, IND
50.487,1922,11, India, IND
12.4871,1922,12, India, IND
9.26583,1923,1, India, IND
31.3931,1923,2, India, IND
16.3191,1923,3, India, IND
30.0036,1923,4, India, IND
38.2698,1923,5, India, IND
93.3721,1923,6, India, IND
282.5,1923,7, India, IND
