Rainfall - (MM), Year,Month, Country, ISO3
105.263,1915,8, China, CHN
77.6498,1915,9, China, CHN
49.2419,1915,10, China, CHN
24.4287,1915,11, China, CHN
6.53196,1915,12, China, CHN
10.8512,1916,1, China, CHN
17.2613,1916,2, China, CHN
18.5867,1916,3, China, CHN
46.5151,1916,4, China, CHN
56.4583,1916,5, China, CHN
99.3069,1916,6, China, CHN
98.1994,1916,7, China, CHN
82.4725,1916,8, China, CHN
71.5854,1916,9, China, CHN
33.1362,1916,10, China, CHN
14.5759,1916,11, China, CHN
7.23141,1916,12, China, CHN
6.42866,1917,1, China, CHN
12.9772,1917,2, China, CHN
21.4227,1917,3, China, CHN
36.4732,1917,4, China, CHN
40.6884,1917,5, China, CHN
99.8762,1917,6, China, CHN
144.781,1917,7, China, CHN
97.4942,1917,8, China, CHN
61.655,1917,9, China, CHN
31.6998,1917,10, China, CHN
9.07873,1917,11, China, CHN
7.43696,1917,12, China, CHN
2.41506,1918,1, China, CHN
8.47447,1918,2, China, CHN
27.8591,1918,3, China, CHN
40.0573,1918,4, China, CHN
86.4034,1918,5, China, CHN
91.1988,1918,6, China, CHN
97.2946,1918,7, China, CHN
127.352,1918,8, China, CHN
65.3582,1918,9, China, CHN
17.664,1918,10, China, CHN
28.9214,1918,11, China, CHN
15.0751,1918,12, China, CHN
10.2111,1919,1, China, CHN
13.8858,1919,2, China, CHN
27.0115,1919,3, China, CHN
39.4063,1919,4, China, CHN
59.6878,1919,5, China, CHN
98.5928,1919,6, China, CHN
101.557,1919,7, China, CHN
86.6081,1919,8, China, CHN
57.7362,1919,9, China, CHN
27.4495,1919,10, China, CHN
17.8232,1919,11, China, CHN
6.41484,1919,12, China, CHN
7.57839,1920,1, China, CHN
23.1024,1920,2, China, CHN
30.7494,1920,3, China, CHN
36.4336,1920,4, China, CHN
51.639,1920,5, China, CHN
96.5615,1920,6, China, CHN
96.345,1920,7, China, CHN
87.089,1920,8, China, CHN
74.9444,1920,9, China, CHN
30.5879,1920,10, China, CHN
22.3967,1920,11, China, CHN
15.7377,1920,12, China, CHN
8.2626,1921,1, China, CHN
10.341,1921,2, China, CHN
24.1458,1921,3, China, CHN
38.3215,1921,4, China, CHN
76.2159,1921,5, China, CHN
87.3868,1921,6, China, CHN
105.129,1921,7, China, CHN
105.032,1921,8, China, CHN
68.4079,1921,9, China, CHN
32.0743,1921,10, China, CHN
9.6647,1921,11, China, CHN
6.57002,1921,12, China, CHN
12.4062,1922,1, China, CHN
17.2084,1922,2, China, CHN
24.2606,1922,3, China, CHN
30.7722,1922,4, China, CHN
58.017,1922,5, China, CHN
87.3153,1922,6, China, CHN
114.258,1922,7, China, CHN
109.532,1922,8, China, CHN
61.1505,1922,9, China, CHN
26.6654,1922,10, China, CHN
9.89003,1922,11, China, CHN
9.2119,1922,12, China, CHN
4.88406,1923,1, China, CHN
16.1584,1923,2, China, CHN
22.4164,1923,3, China, CHN
44.4342,1923,4, China, CHN
53.83,1923,5, China, CHN
88.8441,1923,6, China, CHN
107.525,1923,7, China, CHN
104.878,1923,8, China, CHN
57.2717,1923,9, China, CHN
30.742,1923,10, China, CHN
14.4336,1923,11, China, CHN
9.37944,1923,12, China, CHN
9.75391,1924,1, China, CHN
18.2243,1924,2, China, CHN
18.67,1924,3, China, CHN
35.4998,1924,4, China, CHN
58.899,1924,5, China, CHN
97.5028,1924,6, China, CHN
131.572,1924,7, China, CHN
90.8884,1924,8, China, CHN
51.2769,1924,9, China, CHN
34.6285,1924,10, China, CHN
9.7206,1924,11, China, CHN
5.98242,1924,12, China, CHN
13.6631,1925,1, China, CHN
11.4072,1925,2, China, CHN
29.2047,1925,3, China, CHN
37.7558,1925,4, China, CHN
62.9556,1925,5, China, CHN
80.3851,1925,6, China, CHN
95.7175,1925,7, China, CHN
107.549,1925,8, China, CHN
52.4798,1925,9, China, CHN
25.4123,1925,10, China, CHN
18.489,1925,11, China, CHN
7.28351,1925,12, China, CHN
8.95164,1926,1, China, CHN
17.6702,1926,2, China, CHN
26.1185,1926,3, China, CHN
32.662,1926,4, China, CHN
61.6797,1926,5, China, CHN
80.8914,1926,6, China, CHN
112.433,1926,7, China, CHN
100.722,1926,8, China, CHN
60.286,1926,9, China, CHN
36.558,1926,10, China, CHN
19.3812,1926,11, China, CHN
12.7248,1926,12, China, CHN
8.48841,1927,1, China, CHN
18.2769,1927,2, China, CHN
31.3332,1927,3, China, CHN
42.5515,1927,4, China, CHN
62.2146,1927,5, China, CHN
78.5867,1927,6, China, CHN
106.721,1927,7, China, CHN
85.0927,1927,8, China, CHN
60.9895,1927,9, China, CHN
36.1902,1927,10, China, CHN
15.7556,1927,11, China, CHN
8.41407,1927,12, China, CHN
15.1437,1928,1, China, CHN
13.1721,1928,2, China, CHN
22.1926,1928,3, China, CHN
35.6263,1928,4, China, CHN
58.6234,1928,5, China, CHN
82.5223,1928,6, China, CHN
98.1428,1928,7, China, CHN
109.197,1928,8, China, CHN
58.3422,1928,9, China, CHN
25.6206,1928,10, China, CHN
18.9735,1928,11, China, CHN
8.00982,1928,12, China, CHN
11.8144,1929,1, China, CHN
12.3431,1929,2, China, CHN
12.9377,1929,3, China, CHN
29.2259,1929,4, China, CHN
64.4281,1929,5, China, CHN
89.0984,1929,6, China, CHN
118.742,1929,7, China, CHN
99.4626,1929,8, China, CHN
55.4009,1929,9, China, CHN
21.9555,1929,10, China, CHN
10.9008,1929,11, China, CHN
15.2964,1929,12, China, CHN
11.5317,1930,1, China, CHN
14.5993,1930,2, China, CHN
33.2415,1930,3, China, CHN
44.5141,1930,4, China, CHN
54.9164,1930,5, China, CHN
85.1769,1930,6, China, CHN
84.5536,1930,7, China, CHN
107.959,1930,8, China, CHN
60.0676,1930,9, China, CHN
33.2969,1930,10, China, CHN
16.1188,1930,11, China, CHN
9.66963,1930,12, China, CHN
8.30888,1931,1, China, CHN
14.7805,1931,2, China, CHN
23.4346,1931,3, China, CHN
47.979,1931,4, China, CHN
62.8808,1931,5, China, CHN
93.3463,1931,6, China, CHN
113.826,1931,7, China, CHN
106.774,1931,8, China, CHN
69.4472,1931,9, China, CHN
19.0943,1931,10, China, CHN
15.3197,1931,11, China, CHN
13.771,1931,12, China, CHN
6.09368,1932,1, China, CHN
17.4524,1932,2, China, CHN
20.5959,1932,3, China, CHN
33.6128,1932,4, China, CHN
65.7476,1932,5, China, CHN
98.8342,1932,6, China, CHN
113.703,1932,7, China, CHN
101.136,1932,8, China, CHN
64.9626,1932,9, China, CHN
26.9386,1932,10, China, CHN
12.4259,1932,11, China, CHN
12.6444,1932,12, China, CHN
9.19583,1933,1, China, CHN
13.4296,1933,2, China, CHN
19.2169,1933,3, China, CHN
36.1816,1933,4, China, CHN
65.2846,1933,5, China, CHN
99.6508,1933,6, China, CHN
104.491,1933,7, China, CHN
89.1834,1933,8, China, CHN
54.0227,1933,9, China, CHN
38.3287,1933,10, China, CHN
16.2092,1933,11, China, CHN
11.2254,1933,12, China, CHN
8.25823,1934,1, China, CHN
13.5095,1934,2, China, CHN
22.2063,1934,3, China, CHN
38.0244,1934,4, China, CHN
64.8949,1934,5, China, CHN
105.175,1934,6, China, CHN
109.448,1934,7, China, CHN
99.561,1934,8, China, CHN
64.9238,1934,9, China, CHN
32.7993,1934,10, China, CHN
20.0443,1934,11, China, CHN
12.5662,1934,12, China, CHN
11.5677,1935,1, China, CHN
19.6645,1935,2, China, CHN
21.1793,1935,3, China, CHN
38.2388,1935,4, China, CHN
53.3789,1935,5, China, CHN
91.8217,1935,6, China, CHN
110.54,1935,7, China, CHN
85.3461,1935,8, China, CHN
51.4581,1935,9, China, CHN
42.0703,1935,10, China, CHN
27.4116,1935,11, China, CHN
10.7407,1935,12, China, CHN
7.71476,1936,1, China, CHN
18.0375,1936,2, China, CHN
20.9637,1936,3, China, CHN
45.14,1936,4, China, CHN
66.0285,1936,5, China, CHN
74.8826,1936,6, China, CHN
105.903,1936,7, China, CHN
97.0712,1936,8, China, CHN
58.0808,1936,9, China, CHN
15.3957,1936,10, China, CHN
10.7775,1936,11, China, CHN
15.1847,1936,12, China, CHN
14.2742,1937,1, China, CHN
17.2709,1937,2, China, CHN
21.9521,1937,3, China, CHN
43.6506,1937,4, China, CHN
63.3229,1937,5, China, CHN
85.9074,1937,6, China, CHN
97.0006,1937,7, China, CHN
141.273,1937,8, China, CHN
65.1706,1937,9, China, CHN
28.8835,1937,10, China, CHN
15.6306,1937,11, China, CHN
8.88703,1937,12, China, CHN
11.9116,1938,1, China, CHN
14.0797,1938,2, China, CHN
29.4895,1938,3, China, CHN
26.621,1938,4, China, CHN
70.9227,1938,5, China, CHN
95.7917,1938,6, China, CHN
121.896,1938,7, China, CHN
107.844,1938,8, China, CHN
55.4399,1938,9, China, CHN
41.1537,1938,10, China, CHN
11.0521,1938,11, China, CHN
8.34392,1938,12, China, CHN
7.51963,1939,1, China, CHN
16.0761,1939,2, China, CHN
20.184,1939,3, China, CHN
38.7569,1939,4, China, CHN
56.3167,1939,5, China, CHN
89.0724,1939,6, China, CHN
122.036,1939,7, China, CHN
85.9926,1939,8, China, CHN
59.8045,1939,9, China, CHN
27.3122,1939,10, China, CHN
21.7734,1939,11, China, CHN
3.10786,1939,12, China, CHN
6.94222,1940,1, China, CHN
16.6545,1940,2, China, CHN
35.2252,1940,3, China, CHN
26.7384,1940,4, China, CHN
52.0795,1940,5, China, CHN
81.1686,1940,6, China, CHN
104.456,1940,7, China, CHN
106.937,1940,8, China, CHN
56.0806,1940,9, China, CHN
31.7341,1940,10, China, CHN
20.5825,1940,11, China, CHN
8.9884,1940,12, China, CHN
11.2953,1941,1, China, CHN
18.7039,1941,2, China, CHN
27.8025,1941,3, China, CHN
35.1631,1941,4, China, CHN
58.2537,1941,5, China, CHN
83.2139,1941,6, China, CHN
103.969,1941,7, China, CHN
93.9002,1941,8, China, CHN
58.5906,1941,9, China, CHN
30.2337,1941,10, China, CHN
24.5747,1941,11, China, CHN
14.8174,1941,12, China, CHN
4.86508,1942,1, China, CHN
11.4842,1942,2, China, CHN
31.0663,1942,3, China, CHN
48.0473,1942,4, China, CHN
69.0949,1942,5, China, CHN
87.7433,1942,6, China, CHN
119.587,1942,7, China, CHN
85.7777,1942,8, China, CHN
49.5264,1942,9, China, CHN
34.8482,1942,10, China, CHN
11.3122,1942,11, China, CHN
8.3833,1942,12, China, CHN
7.72616,1943,1, China, CHN
11.6401,1943,2, China, CHN
27.6278,1943,3, China, CHN
33.1527,1943,4, China, CHN
57.0155,1943,5, China, CHN
89.9191,1943,6, China, CHN
97.8334,1943,7, China, CHN
117.34,1943,8, China, CHN
68.6527,1943,9, China, CHN
23.058,1943,10, China, CHN
13.7495,1943,11, China, CHN
5.6401,1943,12, China, CHN
11.2,1944,1, China, CHN
15.7824,1944,2, China, CHN
21.6851,1944,3, China, CHN
41.2887,1944,4, China, CHN
57.8477,1944,5, China, CHN
93.3817,1944,6, China, CHN
96.0569,1944,7, China, CHN
86.2627,1944,8, China, CHN
65.7094,1944,9, China, CHN
38.2125,1944,10, China, CHN
22.8766,1944,11, China, CHN
6.2157,1944,12, China, CHN
10.1167,1945,1, China, CHN
18.2537,1945,2, China, CHN
22.7857,1945,3, China, CHN
33.1784,1945,4, China, CHN
43.886,1945,5, China, CHN
79.145,1945,6, China, CHN
108.904,1945,7, China, CHN
115.59,1945,8, China, CHN
68.3126,1945,9, China, CHN
23.063,1945,10, China, CHN
21.4879,1945,11, China, CHN
10.5738,1945,12, China, CHN
5.16341,1946,1, China, CHN
9.69421,1946,2, China, CHN
33.9386,1946,3, China, CHN
34.8331,1946,4, China, CHN
71.3493,1946,5, China, CHN
96.9794,1946,6, China, CHN
127.587,1946,7, China, CHN
92.2639,1946,8, China, CHN
57.9052,1946,9, China, CHN
30.4894,1946,10, China, CHN
17.6327,1946,11, China, CHN
9.84938,1946,12, China, CHN
16.207,1947,1, China, CHN
10.7047,1947,2, China, CHN
24.7609,1947,3, China, CHN
36.4539,1947,4, China, CHN
61.5261,1947,5, China, CHN
90.5484,1947,6, China, CHN
125.639,1947,7, China, CHN
108.597,1947,8, China, CHN
73.3815,1947,9, China, CHN
28.2825,1947,10, China, CHN
10.0386,1947,11, China, CHN
10.5685,1947,12, China, CHN
9.52476,1948,1, China, CHN
18.5363,1948,2, China, CHN
34.3616,1948,3, China, CHN
42.8472,1948,4, China, CHN
74.0215,1948,5, China, CHN
92.1789,1948,6, China, CHN
128.523,1948,7, China, CHN
90.5075,1948,8, China, CHN
60.3524,1948,9, China, CHN
30.7046,1948,10, China, CHN
11.088,1948,11, China, CHN
16.7591,1948,12, China, CHN
4.35626,1949,1, China, CHN
21.4482,1949,2, China, CHN
25.8419,1949,3, China, CHN
42.6078,1949,4, China, CHN
72.1233,1949,5, China, CHN
96.3461,1949,6, China, CHN
112.786,1949,7, China, CHN
105.876,1949,8, China, CHN
76.1044,1949,9, China, CHN
35.4968,1949,10, China, CHN
21.5732,1949,11, China, CHN
14.4466,1949,12, China, CHN
15.7631,1950,1, China, CHN
18.0875,1950,2, China, CHN
20.8381,1950,3, China, CHN
42.9527,1950,4, China, CHN
66.5125,1950,5, China, CHN
88.9686,1950,6, China, CHN
105.102,1950,7, China, CHN
98.0182,1950,8, China, CHN
60.0273,1950,9, China, CHN
32.7321,1950,10, China, CHN
18.4716,1950,11, China, CHN
5.94897,1950,12, China, CHN
9.31473,1951,1, China, CHN
14.0827,1951,2, China, CHN
25.8248,1951,3, China, CHN
46.356,1951,4, China, CHN
52.0835,1951,5, China, CHN
88.5661,1951,6, China, CHN
108.079,1951,7, China, CHN
105.391,1951,8, China, CHN
64.315,1951,9, China, CHN
38.8461,1951,10, China, CHN
27.953,1951,11, China, CHN
11.0725,1951,12, China, CHN
8.14951,1952,1, China, CHN
16.2972,1952,2, China, CHN
30.0116,1952,3, China, CHN
45.8564,1952,4, China, CHN
71.6122,1952,5, China, CHN
79.778,1952,6, China, CHN
112.763,1952,7, China, CHN
108.752,1952,8, China, CHN
70.0809,1952,9, China, CHN
35.3264,1952,10, China, CHN
14.4028,1952,11, China, CHN
6.45647,1952,12, China, CHN
15.5215,1953,1, China, CHN
15.8129,1953,2, China, CHN
32.5599,1953,3, China, CHN
33.0126,1953,4, China, CHN
69.2629,1953,5, China, CHN
87.8638,1953,6, China, CHN
105.368,1953,7, China, CHN
90.5524,1953,8, China, CHN
57.3392,1953,9, China, CHN
40.0385,1953,10, China, CHN
19.9298,1953,11, China, CHN
18.605,1953,12, China, CHN
14.743,1954,1, China, CHN
19.0087,1954,2, China, CHN
17.1048,1954,3, China, CHN
46.9125,1954,4, China, CHN
77.4742,1954,5, China, CHN
112.113,1954,6, China, CHN
122.639,1954,7, China, CHN
119.629,1954,8, China, CHN
58.4473,1954,9, China, CHN
28.9571,1954,10, China, CHN
14.5444,1954,11, China, CHN
15.6293,1954,12, China, CHN
6.02903,1955,1, China, CHN
12.0841,1955,2, China, CHN
29.1312,1955,3, China, CHN
29.6003,1955,4, China, CHN
59.7755,1955,5, China, CHN
92.8959,1955,6, China, CHN
113.03,1955,7, China, CHN
100.357,1955,8, China, CHN
65.4533,1955,9, China, CHN
24.7806,1955,10, China, CHN
16.7345,1955,11, China, CHN
7.31951,1955,12, China, CHN
11.522,1956,1, China, CHN
12.7339,1956,2, China, CHN
32.1425,1956,3, China, CHN
38.4996,1956,4, China, CHN
77.903,1956,5, China, CHN
107.658,1956,6, China, CHN
95.2533,1956,7, China, CHN
98.2108,1956,8, China, CHN
56.7286,1956,9, China, CHN
31.9137,1956,10, China, CHN
11.4288,1956,11, China, CHN
7.32974,1956,12, China, CHN
17.1915,1957,1, China, CHN
17.9456,1957,2, China, CHN
24.5522,1957,3, China, CHN
44.3007,1957,4, China, CHN
63.7051,1957,5, China, CHN
80.1994,1957,6, China, CHN
112.261,1957,7, China, CHN
95.808,1957,8, China, CHN
49.7241,1957,9, China, CHN
29.2425,1957,10, China, CHN
15.8148,1957,11, China, CHN
11.7687,1957,12, China, CHN
13.116,1958,1, China, CHN
13.1843,1958,2, China, CHN
21.0912,1958,3, China, CHN
42.7888,1958,4, China, CHN
58.8414,1958,5, China, CHN
74.5276,1958,6, China, CHN
115.762,1958,7, China, CHN
109.716,1958,8, China, CHN
58.2279,1958,9, China, CHN
32.7045,1958,10, China, CHN
9.1046,1958,11, China, CHN
8.95893,1958,12, China, CHN
11.5163,1959,1, China, CHN
30.7934,1959,2, China, CHN
28.0919,1959,3, China, CHN
38.3414,1959,4, China, CHN
67.3044,1959,5, China, CHN
100.156,1959,6, China, CHN
96.0305,1959,7, China, CHN
111.008,1959,8, China, CHN
66.9674,1959,9, China, CHN
30.4685,1959,10, China, CHN
17.759,1959,11, China, CHN
15.2691,1959,12, China, CHN
8.63987,1960,1, China, CHN
8.28585,1960,2, China, CHN
33.7685,1960,3, China, CHN
29.7509,1960,4, China, CHN
64.7298,1960,5, China, CHN
86.0465,1960,6, China, CHN
109.69,1960,7, China, CHN
98.4701,1960,8, China, CHN
69.2991,1960,9, China, CHN
25.6138,1960,10, China, CHN
20.7517,1960,11, China, CHN
5.34534,1960,12, China, CHN
8.23985,1961,1, China, CHN
16.2482,1961,2, China, CHN
31.0548,1961,3, China, CHN
45.1753,1961,4, China, CHN
55.9066,1961,5, China, CHN
76.8967,1961,6, China, CHN
106.208,1961,7, China, CHN
114.856,1961,8, China, CHN
75.0143,1961,9, China, CHN
36.9541,1961,10, China, CHN
27.5849,1961,11, China, CHN
14.2234,1961,12, China, CHN
7.31324,1962,1, China, CHN
11.262,1962,2, China, CHN
16.2369,1962,3, China, CHN
36.9621,1962,4, China, CHN
61.9068,1962,5, China, CHN
98.7149,1962,6, China, CHN
115.988,1962,7, China, CHN
106.263,1962,8, China, CHN
66.1147,1962,9, China, CHN
29.3714,1962,10, China, CHN
22.1127,1962,11, China, CHN
7.68447,1962,12, China, CHN
1.70178,1963,1, China, CHN
8.48607,1963,2, China, CHN
23.2544,1963,3, China, CHN
35.3292,1963,4, China, CHN
60.2651,1963,5, China, CHN
74.564,1963,6, China, CHN
120.815,1963,7, China, CHN
97.9475,1963,8, China, CHN
60.7522,1963,9, China, CHN
